시도,시군구,2015. 08 월,2015. 09 월,2015. 10 월,2015. 11 월,2015. 12 월,2016. 01 월,2016. 02 월,2016. 03 월,2016. 04 월,2016. 05 월,2016. 06 월,2016. 07 월,2016. 08 월,2016. 09 월,2016. 10 월,2016. 11 월,2016. 12 월,2017. 01 월,2017. 02 월,2017. 03 월,2017. 04 월,2017. 05 월,2017. 06 월,2017. 07 월,2017. 08 월,2017. 09 월,2017. 10 월,2017. 11 월,2017. 12 월,2018. 01 월,2018. 02 월,2018. 03 월,2018. 04 월,2018. 05 월,2018. 06 월,2018. 07 월,2018. 08 월,2018. 09 월,2018. 10 월,2018. 11 월,2018. 12 월,2019. 01 월,2019. 02 월,2019. 03 월,2019. 04 월,2019. 05 월,2019. 06 월,2019. 07 월,2019. 08 월,2019. 09 월,2019. 10 월,2019. 11 월,2019. 12 월,2020. 01 월,2020. 02 월,2020. 03 월,2020. 04 월,2020. 05 월,2020. 06 월
서울,종로,155265,155508,155433,155321,154986,154856,154950,155142,154919,154626,154365,154201,153961,153793,153581,153232,152737,152405,152398,153589,153937,154293,154408,154802,155035,155109,155103,154906,154770,154619,154509,154549,154312,154104,153780,153531,153401,153396,153296,153172,153065,152866,152880,152778,152495,152220,152026,151858,151766,151767,151541,151457,151290,151215,151309,151217,150936,150623,150383
서울,중,126339,126257,126237,126034,125733,125602,125555,125765,125786,125580,125457,125454,125642,125635,125710,125572,125249,124976,124714,124312,124072,124064,123970,123926,124793,125332,125445,125580,125709,125786,125945,126082,125986,126152,126032,125941,125802,125815,125803,125760,125725,125872,125995,125942,125913,125808,126143,126414,126412,126409,126270,126209,126171,126201,126259,126175,126126,126120,126092
서울,중랑,416258,415474,414773,414486,413909,413844,413680,413605,413648,413621,413400,412936,412389,412223,411988,411659,411005,410731,410417,409882,409740,409786,410266,410565,410446,410109,409755,409059,408226,407731,407137,406868,406494,406102,405551,405118,404651,404313,403894,403544,403209,402974,402616,402203,401546,400933,400661,399878,399195,398812,397938,397297,397015,396755,396314,395619,395072,394982,394414
세종,계,194173,197964,202214,206044,210884,215418,220108,223461,225488,227972,230327,232117,234510,236134,238533,240560,243048,244939,247600,251178,254112,259157,263056,266075,269102,271410,274092,276879,280100,283198,288079,291182,295041,297604,300332,302703,305648,308068,310403,312103,314126,316814,320326,322693,324417,325777,327643,330298,332098,333757,336356,338647,340575,342328,343788,344792,345216,345373,345341
세종,세종특별자치시,194173,197964,202214,206044,210884,215418,220108,223461,225488,227972,230327,232117,234510,236134,238533,240560,243048,244939,247600,251178,254112,259157,263056,266075,269102,271410,274092,276879,280100,283198,288079,291182,295041,297604,300332,302703,305648,308068,310403,312103,314126,316814,320326,322693,324417,325777,327643,330298,332098,333757,336356,338647,340575,342328,343788,344792,345216,345373,345341
울산,계,1170640,1170980,1173050,1174051,1173534,1173568,1173143,1172959,1172925,1173147,1173143,1173066,1173005,1172965,1173178,1172891,1172304,1171656,1169957,1168843,1168501,1167960,1167525,1166942,1165909,1165385,1165528,1165317,1165132,1164489,1163151,1162074,1161303,1160657,1159594,1158847,1157964,1157420,1156917,1156260,1155623,1154786,1153735,1152800,1152293,1151685,1151301,1150891,1150294,1149873,1149409,1148922,1148019,1147037,1145710,1144563,1144098,1143148,1142190
울산,남,344455,344047,344011,344032,343598,343220,342881,342544,342322,342264,341979,341716,341587,341363,341310,340982,340714,340426,339871,339160,338848,338382,338082,337769,337149,336531,336206,335674,335439,335094,334304,333485,332985,332576,331940,331471,330966,330644,330435,330590,330732,330403,329765,328742,327868,327259,326698,325875,325174,324701,324380,324056,323819,323704,323756,323320,323230,323192,322883
울산,동,174788,174813,175053,175088,174963,175313,175667,175832,175727,175136,174984,174905,174781,174772,174667,174635,174514,174197,173683,173083,172466,172012,171569,171341,170989,170643,170473,170065,169605,168912,168126,167725,167272,166936,166536,166124,165754,165476,165306,164976,164642,164172,163430,162806,162298,161931,161582,161327,161017,160768,160449,160106,159656,159294,158809,158477,158323,158154,157973
울산,북,191020,191201,191108,191026,191063,191020,190813,190865,191310,192810,193481,193868,194144,194559,194953,195171,195285,195746,195785,196219,196900,197393,197831,197938,198002,198270,198897,199566,200718,201882,203100,203970,204568,204875,204877,205352,205652,205859,206058,206106,206434,207267,208378,210049,211922,213027,213854,214607,215276,215753,216421,217309,217796,218053,218190,218353,218364,218396,218673
울산,울주,218628,218844,219287,219492,219429,219427,219319,219435,219449,219318,219225,219238,219244,219155,219249,219308,219255,219201,218791,218760,218789,218853,218941,218871,218957,219599,220061,220588,220718,220556,220567,220526,220648,220931,221393,221654,221845,222000,222096,222044,221842,221724,221861,222028,222191,222213,222454,222894,223170,223454,223429,223213,223167,222926,222560,222711,223056,222802,222633
울산,중,241749,242075,243591,244413,244481,244588,244463,244283,244117,243619,243474,243339,243249,243116,242999,242795,242536,242086,241827,241621,241498,241320,241102,241023,240812,240342,239891,239424,238652,238045,237054,236368,235830,235339,234848,234246,233747,233441,233022,232544,231973,231220,230301,229175,228014,227255,226713,226188,225657,225197,224730,224238,223581,223060,222395,221702,221125,220604,220028
인천,강화,67468,67457,67533,67608,67667,67666,67648,67560,67623,67681,67646,67724,67776,67786,67864,67940,68010,68024,68142,68095,68097,68127,68196,68241,68335,68393,68496,68589,68754,68744,68716,68674,68735,68723,68753,68772,68793,68841,68960,68913,68896,68897,68940,68939,68992,69048,69051,69130,69153,69138,69157,69173,69178,69197,69154,68996,69030,69102,69060
