,15.08_시군구,15.08_합물특,15.09_시군구,15.09_합물특,15.10_시군구,15.10_합물특,15.11_시군구,15.11_합물특,15.12_시군구,15.12_합물특,16.01_시군구,16.01_합물특,16.02_시군구,16.02_합물특,16.03_시군구,16.03_합물특,16.04_시군구,16.04_합물특,16.05_시군구,16.05_합물특,16.06_시군구,16.06_합물특,16.07_시군구,16.07_합물특,16.08_시군구,16.08_합물특,16.09_시군구,16.09_합물특,16.10_시군구,16.10_합물특,16.11_시군구,16.11_합물특,16.12_시군구,16.12_합물특,17.01_시군구,17.01_합물특,17.02_시군구,17.02_합물특,17.03_시군구,17.03_합물특,17.04_시군구,17.04_합물특,17.05_시군구,17.05_합물특,17.06_시군구,17.06_합물특,17.07_시군구,17.07_합물특,17.08_시군구,17.08_합물특,17.09_시군구,17.09_합물특,17.10_시군구,17.10_합물특,17.11_시군구,17.11_합물특,17.12_시군구,17.12_합물특,18.01_시군구,18.01_합물특,18.02_시군구,18.02_합물특,18.03_시군구,18.03_합물특,18.04_시군구,18.04_합물특,18.05_시군구,18.05_합물특,18.06_시군구,18.06_합물특,18.07_시군구,18.07_합물특,18.08_시군구,18.08_합물특,18.09_시군구,18.09_합물특,18.10_시군구,18.10_합물특,18.11_시군구,18.11_합물특,18.12_시군구,18.12_합물특,19.01_시군구,19.01_합물특,19.02_시군구,19.02_합물특,19.03_시군구,19.03_합물특,19.04_시군구,19.04_합물특,19.05_시군구,19.05_합물특,19.06_시군구,19.06_합물특,19.07_시군구,19.07_합물특,19.08_시군구,19.08_합물특,19.09_시군구,19.09_합물특,19.10_시군구,19.10_합물특,19.11_시군구,19.11_합물특,19.12_시군구,19.12_합물특,20.01_시군구,20.01_합물특,20.02_시군구,20.02_합물특,20.03_시군구,20.03_합물특,20.04_시군구,20.04_합물특,20.05_시군구,20.05_합물특,20.06_시군구,20.06_합물특
224,군위,5230,군위,5246,군위,5316,군위,5318,군위,5329,군위,5358,군위,5376,군위,5396,군위,5405,군위,5427,군위,5446,구미,38251,문경,11241.0,문경,11129.0,문경,11148.0,문경,11164.0,문경,11169.0,문경,11184.0,문경,11207.0,문경,11251.0,문경,11285.0,문경,11302.0,문경,11333.0,문경,11336.0,문경,11313.0,문경,11314.0,문경,11325.0,문경,11354.0,문경,11331.0,문경,11320.0,문경,11316.0,문경,11332.0,문경,11356.0,문경,11396.0,문경,11410.0,문경,11408.0,문경,11409.0,문경,11418.0,문경,11462.0,문경,11460.0,문경,11477.0,문경,11533.0,문경,11568.0,문경,11537.0,문경,7375.0,문경,7379.0,문경,7388.0,문경,7416.0,문경,7431.0,문경,7450.0,문경,7453.0,문경,7399.0,문경,7395.0,문경,7419.0,문경,7459.0,문경,7449.0,문경,7443.0,문경,7470.0,문경,7507.0
225,김천,19398,김천,19472,김천,19497,김천,19496,김천,19543,김천,19538,김천,19589,김천,19659,김천,19680,김천,19721,김천,19816,군위,5431,봉화,7048.0,봉화,7068.0,봉화,7099.0,봉화,7115.0,봉화,7106.0,봉화,7108.0,봉화,7137.0,봉화,7142.0,봉화,7142.0,봉화,7127.0,봉화,7146.0,봉화,7169.0,봉화,7155.0,봉화,7187.0,봉화,7190.0,봉화,7202.0,봉화,7216.0,봉화,7217.0,봉화,7227.0,봉화,7254.0,봉화,7284.0,봉화,7314.0,봉화,7317.0,봉화,7314.0,봉화,7326.0,봉화,7332.0,봉화,7343.0,봉화,7339.0,봉화,7348.0,봉화,7360.0,봉화,7384.0,봉화,7388.0,봉화,19805.0,봉화,19801.0,봉화,19803.0,봉화,19823.0,봉화,19856.0,봉화,19905.0,봉화,19999.0,봉화,19932.0,봉화,19996.0,봉화,19989.0,봉화,20028.0,봉화,20023.0,봉화,20002.0,봉화,19991.0,봉화,20018.0
226,문경,10965,문경,10975,문경,10984,문경,10997,문경,10999,문경,11006,문경,11039,문경,11094,문경,11131,문경,11151,문경,11184,김천,19849,상주,19157.0,상주,19171.0,상주,19166.0,상주,19202.0,상주,19185.0,상주,19175.0,상주,19227.0,상주,19206.0,상주,19237.0,상주,19272.0,상주,19302.0,상주,19356.0,상주,19361.0,상주,19407.0,상주,19422.0,상주,19423.0,상주,19429.0,상주,19468.0,상주,19483.0,상주,19492.0,상주,19479.0,상주,19502.0,상주,19529.0,상주,19584.0,상주,19617.0,상주,19668.0,상주,19703.0,상주,19723.0,상주,19723.0,상주,19803.0,상주,19850.0,상주,19867.0,상주,12627.0,상주,12630.0,상주,12663.0,상주,12728.0,상주,12755.0,상주,12747.0,상주,12709.0,상주,12666.0,상주,12657.0,상주,12727.0,상주,12761.0,상주,12741.0,상주,12759.0,상주,12765.0,상주,12807.0
227,봉화,6874,봉화,6870,봉화,6888,봉화,6919,봉화,6933,봉화,6939,봉화,6936,봉화,6970,봉화,7016,봉화,7005,봉화,7032,문경,11229,성주,12203.0,성주,12195.0,성주,12207.0,성주,12203.0,성주,12130.0,성주,12134.0,성주,12142.0,성주,12179.0,성주,12203.0,성주,12246.0,성주,12257.0,성주,12291.0,성주,12290.0,성주,12333.0,성주,12332.0,성주,12317.0,성주,12344.0,성주,12414.0,성주,12407.0,성주,12413.0,성주,12445.0,성주,12452.0,성주,12469.0,성주,12455.0,성주,12493.0,성주,12513.0,성주,12553.0,성주,12547.0,성주,12579.0,성주,12623.0,성주,12603.0,성주,12591.0,성주,23391.0,성주,23427.0,성주,23485.0,성주,23508.0,성주,23510.0,성주,23447.0,성주,23377.0,성주,23358.0,성주,23352.0,성주,23418.0,성주,23326.0,성주,23312.0,성주,23383.0,성주,23460.0,성주,23540.0
228,상주,18688,상주,18735,상주,18810,상주,18845,상주,18845,상주,18912,상주,18963,상주,18994,상주,19022,상주,19038,상주,19091,봉화,7045,안동,23232.0,안동,23200.0,안동,23170.0,안동,23203.0,안동,23196.0,안동,23213.0,안동,23207.0,안동,23199.0,안동,23258.0,안동,23225.0,안동,23273.0,안동,23297.0,안동,23255.0,안동,23290.0,안동,23282.0,안동,23316.0,안동,23369.0,안동,23341.0,안동,23283.0,안동,23252.0,안동,23292.0,안동,23306.0,안동,23339.0,안동,23363.0,안동,23415.0,안동,23430.0,안동,23396.0,안동,23412.0,안동,23463.0,안동,23543.0,안동,23505.0,안동,23428.0,안동,6810.0,안동,6809.0,안동,6829.0,안동,6850.0,안동,6876.0,안동,6890.0,안동,6830.0,안동,6832.0,안동,6828.0,안동,6863.0,안동,6896.0,안동,6868.0,안동,6879.0,안동,6908.0,안동,6941.0
229,성주,11829,성주,11849,성주,11879,성주,11900,성주,11921,성주,11957,성주,11976,성주,12052,성주,12076,성주,12123,성주,12129,상주,19114,영덕,6730.0,영덕,6728.0,영덕,6733.0,영덕,6728.0,영덕,6708.0,영덕,6724.0,영덕,6737.0,영덕,6748.0,영덕,6760.0,영덕,6764.0,영덕,6768.0,영덕,6765.0,영덕,6753.0,영덕,6777.0,영덕,6784.0,영덕,6768.0,영덕,6781.0,영덕,6794.0,영덕,6814.0,영덕,6800.0,영덕,6807.0,영덕,6821.0,영덕,6842.0,영덕,6842.0,영덕,6854.0,영덕,6856.0,영덕,6844.0,영덕,6854.0,영덕,6847.0,영덕,6854.0,영덕,6836.0,영덕,6822.0,영덕,4036.0,영덕,4046.0,영덕,4054.0,영덕,4074.0,영덕,4082.0,영덕,4084.0,영덕,4105.0,영덕,4080.0,영덕,4067.0,영덕,4087.0,영덕,4075.0,영덕,4092.0,영덕,4098.0,영덕,4101.0,영덕,4115.0
230,안동,22656,안동,22694,안동,22720,안동,22781,안동,22859,안동,22893,안동,22947,안동,22994,안동,23093,안동,23139,안동,23157,성주,12191,영양,3811.0,영양,3823.0,영양,3836.0,영양,3826.0,영양,3827.0,영양,3848.0,영양,3868.0,영양,3865.0,영양,3876.0,영양,3888.0,영양,3885.0,영양,3897.0,영양,3902.0,영양,3903.0,영양,3909.0,영양,3921.0,영양,3925.0,영양,3925.0,영양,3911.0,영양,3934.0,영양,3953.0,영양,3966.0,영양,3972.0,영양,3984.0,영양,3992.0,영양,3980.0,영양,3992.0,영양,4010.0,영양,4007.0,영양,4022.0,영양,4023.0,영양,4021.0,영양,17659.0,영양,17659.0,영양,17673.0,영양,17692.0,영양,17687.0,영양,17721.0,영양,17634.0,영양,17622.0,영양,17594.0,영양,17647.0,영양,17641.0,영양,17608.0,영양,17606.0,영양,17596.0,영양,17608.0
231,영덕,6547,영덕,6573,영덕,6607,영덕,6626,영덕,6628,영덕,6641,영덕,6659,영덕,6678,영덕,6684,영덕,6687,영덕,6692,안동,23189,영주,17703.0,영주,17701.0,영주,17672.0,영주,17651.0,영주,17554.0,영주,17566.0,영주,17554.0,영주,17550.0,영주,17551.0,영주,17599.0,영주,17613.0,영주,17586.0,영주,17579.0,영주,17580.0,영주,17586.0,영주,17593.0,영주,17580.0,영주,17624.0,영주,17632.0,영주,17587.0,영주,17593.0,영주,17577.0,영주,17597.0,영주,17594.0,영주,17599.0,영주,17595.0,영주,17626.0,영주,17615.0,영주,17620.0,영주,17668.0,영주,17671.0,영주,17635.0,영주,20077.0,영주,20075.0,영주,20094.0,영주,20111.0,영주,20124.0,영주,20137.0,영주,20077.0,영주,20073.0,영주,20089.0,영주,20103.0,영주,20144.0,영주,20117.0,영주,20153.0,영주,20226.0,영주,20322.0
232,영양,3681,영양,3694,영양,3707,영양,3721,영양,3731,영양,3744,영양,3747,영양,3759,영양,3767,영양,3770,영양,3782,영덕,6708,영천,19244.0,영천,19255.0,영천,19260.0,영천,19326.0,영천,19335.0,영천,19386.0,영천,19382.0,영천,19421.0,영천,19452.0,영천,19517.0,영천,19544.0,영천,19570.0,영천,19637.0,영천,19686.0,영천,19701.0,영천,19704.0,영천,19707.0,영천,19720.0,영천,19703.0,영천,19659.0,영천,19727.0,영천,19757.0,영천,19800.0,영천,19842.0,영천,19887.0,영천,19926.0,영천,19934.0,영천,19975.0,영천,20018.0,영천,20079.0,영천,20104.0,영천,20090.0,영천,9017.0,영천,9033.0,영천,9078.0,영천,9110.0,영천,9138.0,영천,9174.0,영천,9156.0,영천,9151.0,영천,9151.0,영천,9165.0,영천,9221.0,영천,9222.0,영천,9240.0,영천,9259.0,영천,9279.0
233,영주,17341,영주,17379,영주,17371,영주,17388,영주,17408,영주,17451,영주,17497,영주,17525,영주,17536,영주,17578,영주,17631,영양,3797,예천,8352.0,예천,8379.0,예천,8390.0,예천,8375.0,예천,8382.0,예천,8384.0,예천,8405.0,예천,8425.0,예천,8443.0,예천,8448.0,예천,8448.0,예천,8496.0,예천,8526.0,예천,8564.0,예천,8594.0,예천,8588.0,예천,8604.0,예천,8660.0,예천,8711.0,예천,8754.0,예천,8779.0,예천,8814.0,예천,8845.0,예천,8870.0,예천,8901.0,예천,8951.0,예천,8947.0,예천,8954.0,예천,8960.0,예천,8986.0,예천,9011.0,예천,8998.0,예천,1904.0,예천,1915.0,예천,1921.0,예천,1911.0,예천,1915.0,예천,1907.0,예천,1902.0,예천,1896.0,예천,1881.0,예천,1878.0,예천,1882.0,예천,1861.0,예천,1833.0,예천,1831.0,예천,1826.0
